EQ,PE,RE,IG CB,HY CB,GB,MONEY
1173763.1596129432,1244472.5337980152,1126149.7160733228,1106044.9291843753,1089096.079822167,1088855.701052652,996194.1935098227
1182305.4953858098,1252705.6216531813,1120072.8144805057,1107710.0402287778,1093239.17750723,1090442.9667689553,996189.3508504643
1191172.0917956324,1263795.2130205845,1120324.2633630442,1110919.587144505,1095447.6729095369,1093789.2910446702,996184.618903729
1185050.0511750146,1280771.541973273,1152685.2866266551,1115488.770798217,1099304.8107706653,1093119.4848906298,996179.9699946508
1193520.3596146675,1286361.1962141797,1159239.253351228,1113795.4363547654,1101399.3379818609,1095065.7614130143,996175.0167166588
1211332.126266057,1296053.1332255006,1184841.8960734308,1115293.8387609592,1103252.4393529075,1098030.4031791282,996160.1566577151
1226524.4027805321,1307607.9783994586,1201762.1651417636,1118283.9707064824,1106034.5100569539,1096385.8076651231,996155.1758068467
1216036.5521294312,1279196.8405202087,1177497.0043517668,1120033.2291819754,1102996.0300186865,1096109.4088262636,996151.080460941
1214289.2094450658,1273788.0749274585,1171679.3661079826,1117458.9582998601,1102215.2655778208,1093633.320341024,996146.0996554517
1219585.2761255798,1264060.896397494,1162146.669976533,1117475.524823676,1103892.3113519677,1093999.7567356196,996141.2849008891
